product_id,title,price,sale_price,availability,material,color,color_hex,size_text,origin,age_group,pattern,images,status,visibility
test-utf8,"Test Rug UTF8",100,90,in stock,wool,"Beige|Red","#cbb79c|#7a1f2b","170x240","Anatolia",adult,"geometric","https://example.com/1.jpg active",active,public
10002,"Anatolian Rug",329,299,in stock,100% wool,"Beige|Burgundy","#cbb79c|#7a1f2b","170x240 cm","Anatolia",adult,"Traditional, Vintage","https://example.com/a.jpg https://example.com/b.jpg",active,public
test-123,"Smoke Test Rug",123.45,,in stock,,"","","","",,"","https://example.com/i.jpg",active,public
10420,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#866954|#a99484","#866954|#a99484","7' 5'' X 11' 7''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10126,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#80563e|#59221a","#80563e|#59221a","6' 9'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10077,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#91715a|#c79b78","#91715a|#c79b78","6' 5'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10132,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7f5c49|#ad7e63","#7f5c49|#ad7e63","6' 3'' X 10' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10412,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#957c65|#625549","#957c65|#625549","8' 3'' X 12' 3''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10356,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a17e6b|#61534c","#a17e6b|#61534c","3'11'' X  6' 0''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10183,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#664a3a|#421b18","#664a3a|#421b18","6' 7'' X 10' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10130,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a97d68|#d4b696","#a97d68|#d4b696","6' 8'' X 10' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10124,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6b533b|#37221a","#6b533b|#37221a","6' 6'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10213,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#51403a|#292120","#51403a|#292120","6' 7'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10434,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#783032|#2a232d","#783032|#2a232d","3' 3'' X  9'11''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10068,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7e6750|#4d3128","#7e6750|#4d3128","6' 5'' X 10' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
13297,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#baa086|#ab6156","#baa086|#ab6156","4' 0'' X  5' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10278,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a48370|#d4c2a0","#a48370|#d4c2a0","4' 9'' X  7' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
