sku,image,color,origin,size,description,color1,color2,color3,error
10152,https://drive.google.com/uc?export=view&id=1zpLP7FVakjYl8NaGVauh4GNq9yzlIBF3,#ffffff;#947b63;#8c6b5a,,,Color: #ffffff;#947b63;#8c6b5a,#ffffff,#947b63,#8c6b5a,
10153,https://drive.google.com/uc?export=view&id=1bH4tb2a2Xw4LNY3wacDJ0m0uL0qn91Y-,#ffffff;#846352;#844a42,,,Color: #ffffff;#846352;#844a42,#ffffff,#846352,#844a42,
10154,,,,,,,,,no-image
10155,https://drive.google.com/uc?export=view&id=1gYap8AwzlbziQ_39wBqcsaEsWen-Aa57,#ffffff;#8c293a;#842131,,,Color: #ffffff;#8c293a;#842131,#ffffff,#8c293a,#842131,
10156,https://drive.google.com/uc?export=view&id=1plSz9f4FDgsZ63pctCk9xaFiXr_mKxxK,#ffffff;#6b5a4a;#635242,,,Color: #ffffff;#6b5a4a;#635242,#ffffff,#6b5a4a,#635242,
10157,https://drive.google.com/uc?export=view&id=1mTdmlRqwANd1CyXD4jR5L9Xf0FIEXL8V,#ffffff;#7b634a;#7b5a4a,,,Color: #ffffff;#7b634a;#7b5a4a,#ffffff,#7b634a,#7b5a4a,
10158,https://drive.google.com/uc?export=view&id=182CrkfyTEW0Nky66M3jHanKjcZ9eVBN-,#ffffff;#8c7363;#947b6b,,,Color: #ffffff;#8c7363;#947b6b,#ffffff,#8c7363,#947b6b,
10159,,,,,,,,,no-image
10160,https://drive.google.com/uc?export=view&id=1tnHP4a_tic4TXOC1AW0IAr_LVnFQwcRw,#ffffff;#6b4a3a;#52423a,,,Color: #ffffff;#6b4a3a;#52423a,#ffffff,#6b4a3a,#52423a,
10161,https://drive.google.com/uc?export=view&id=1w7E8rwlMfJ6fpoEiSOfezuuaojBw3pME,#ffffff;#845a42;#7b523a,,,Color: #ffffff;#845a42;#7b523a,#ffffff,#845a42,#7b523a,
10162,,,,,,,,,no-image
10163,https://drive.google.com/uc?export=view&id=1Nrb3mDrA4HHZO6XaDU8Tzdcq_l2nLDyh,#ffffff;#634a3a;#5a4231,,,Color: #ffffff;#634a3a;#5a4231,#ffffff,#634a3a,#5a4231,
10164,https://drive.google.com/uc?export=view&id=1_Tk5baCg8y0dLTUecVeZzfLpxoy9NjDw,#ffffff;#6b3a3a;#6b3131,,,Color: #ffffff;#6b3a3a;#6b3131,#ffffff,#6b3a3a,#6b3131,
10165,https://drive.google.com/uc?export=view&id=1hGBIjJnvdXD76ku9frjOi8ikuOaH0kgl,#ffffff;#b5946b;#ad8c63,,,Color: #ffffff;#b5946b;#ad8c63,#ffffff,#b5946b,#ad8c63,
10166,https://drive.google.com/uc?export=view&id=1EI1v-HxrDyLZsscqT783wlD-wNy0ssbf,#ffffff;#6b5242;#422921,,,Color: #ffffff;#6b5242;#422921,#ffffff,#6b5242,#422921,
10167,https://drive.google.com/uc?export=view&id=1FWvT6T4t53myRsHyX6KBnrzE4o9uWSDQ,#ffffff;#523a31;#4a3a31,,,Color: #ffffff;#523a31;#4a3a31,#ffffff,#523a31,#4a3a31,
