sku,color1,color2,color3,image,error
10369,#ffffff,#6b5a52,#7b6b5a,"https://drive.google.com/uc?export=view&id=12ihBoltt3DtWYiCiQah00UyM0U5msozC",
10370,#ffffff,#31423a,#de948c,"https://drive.google.com/uc?export=view&id=1L55kYXJ5CBtlBuSUxm2Kzk5tMkxz70yN",
10371,#ffffff,#9c847b,#a58c84,"https://drive.google.com/uc?export=view&id=1lZXClqeSoj1kflb7m-5XjtQ_oIgsCUuF",
10372,,,,,"no-image"
10373,#8c5242,#7b6352,#846b5a,"https://drive.google.com/uc?export=view&id=1LzluZ5zcUACuCH9g7Ht2VNiObxQCQGk8",
10374,#8c6b52,#a57b63,#9c735a,"https://drive.google.com/uc?export=view&id=19AcgjTmT6ZqVsU5GPvNoK18s83u8FfOr",
10375,#ffffff,#7b5a52,#84635a,"https://drive.google.com/uc?export=view&id=1hbQ0_Sxs6NhJ6bjVLqqgiBC0BP_t3l14",
10376,#ffffff,#f7efce,#846b5a,"https://drive.google.com/uc?export=view&id=16xifs9Ap5BfvO2AnY7UKBCr25HXWpteI",
10377,#ffffff,#847363,#b59c8c,"https://drive.google.com/uc?export=view&id=15S5mzGx27kK7rvB3vE-OX0r9VpG7m6rK",
10378,#ffffff,#213a5a,#293a5a,"https://drive.google.com/uc?export=view&id=1Vs66PV4lSS0V0nvjql9AOHsBxnWjg-j8",
10379,#ffffff,#ad947b,#6b5252,"https://drive.google.com/uc?export=view&id=12F-u0I_l-Glid0oCoRAaBdL58gLCtxj6",
10380,#ffffff,#947363,#8c6b5a,"https://drive.google.com/uc?export=view&id=1oMIHRqIhDvvGt2Y9WTQUlofdYgGXC6WK",
10381,#6b5242,#6b634a,#735a4a,"https://drive.google.com/uc?export=view&id=13BRjVv0W6Ri3kbCPpV6Ri3q1ed1xPOf2",
10382,#731010,#7b1019,#731019,"https://drive.google.com/uc?export=view&id=1psl7RGgb_76dQ1VWxAYPO0ft1WigJX6l",
10383,#6b0810,#630810,#5a1919,"https://drive.google.com/uc?export=view&id=1_tEgtHirQHzlEsV0oAy0V_a3hd7YqXIQ",
10384,#ffffff,#c5b5a5,#bdad9c,"https://drive.google.com/uc?export=view&id=17dPnTAtIfKxpnrzyq8wd2_F75fGnHBgI",
10385,#ffffff,#736b6b,#6b6363,"https://drive.google.com/uc?export=view&id=10wfD-DBQRMSOWTdSB1NfARILpLRjyC1C",
10386,#b57373,#bd7b7b,#b56b73,"https://drive.google.com/uc?export=view&id=1HHS2f-bA_yq4aipYhgrFI6FKQ3ey4yvC",
10387,,,,,"no-image"
10388,#212929,#7b6b63,#73635a,"https://drive.google.com/uc?export=view&id=1PmOQg6BWUaFaWaEnrY79NGvC9acZgvBN",
10389,#8c7b73,#8c847b,#94847b,"https://drive.google.com/uc?export=view&id=13WykY-Hf_m-hH4aKSdLrAdKMKEefx55X",
10390,#ffffff,#ad8452,#c58c63,"https://drive.google.com/uc?export=view&id=1POHxxgOmXjU8mH9PRGmeYsS5eCrbmHHN",
10391,#ffffff,#a5948c,#948c84,"https://drive.google.com/uc?export=view&id=1fTHloVmOrUJKURwsta_TCcVknsdItLXh",
10392,#ffffff,#7b7b84,#848484,"https://drive.google.com/uc?export=view&id=1NT0Y1VJEjGow_Hc8H8jeJRb0lVNB66VF",
10393,#ffffff,#736352,#635a4a,"https://drive.google.com/uc?export=view&id=1BCcDukaN-_yftDwKsraQiOAIGWltNFvf",
10394,#212929,#293131,#847b73,"https://drive.google.com/uc?export=view&id=1iJl9CSlL9XCZ1dQUN6xEggS1nf2v9cy6",
10395,,,,,"no-image"
10396,,,,,"no-image"
10397,,,,,"no-image"
10398,#ffffff,#212131,#63423a,"https://drive.google.com/uc?export=view&id=1c35zcjalTabBz_3c9eG5-oT8Mr1XyNvo",
10399,#ffffff,#6b5252,#735a52,"https://drive.google.com/uc?export=view&id=1zlnOchJD4m-GeY3y4OE0quWKrNkP1vWr",
10401,#ffffff,#734a3a,#84634a,"https://drive.google.com/uc?export=view&id=1fuyj1NF2_ckeviXTVbdSlCt-Hdb8AgcV",
10402,#ffffff,#8c7363,#947b6b,"https://drive.google.com/uc?export=view&id=1Q8zh8dAImbC_VvILbeajvvtRR_1zoJTT",
10403,#ffffff,#a5846b,#9c735a,"https://drive.google.com/uc?export=view&id=1olcLFAH5ZynHmIATc6Lr8recNwKr377S",
10404,#ffffff,#7b6352,#846b5a,"https://drive.google.com/uc?export=view&id=1j27A4uxojgr0uw9FqKQVdkNsJM9exLN8",
